title,authors,average_rating,publication_year
Quiet Days in Clichy,Henry Miller,3.69,1994
Tropic of Cancer,Henry Miller/Jiří Níl,3.68,1994
Tropic of Capricorn,Henry Miller,3.78,1994
Nexus (The Rosy Crucifixion  #3),Henry Miller,4.1,1994
Sexus (The Rosy Crucifixion  #1),Henry Miller,3.98,1994
The Air-Conditioned Nightmare,Henry Miller,3.83,1970
The Portrait of a Lady,Henry James/Patricia Crick,3.78,2003
The Portrait of a Lady,Henry James/Gabriel Brownstein/Mary Cregan,3.78,2004
Writing,Marguerite Duras,3.75,1999
The War,Marguerite Duras/Barbara Bray,3.85,1994
The Ravishing of Lol Stein,Marguerite Duras/Richard Seever,3.66,1986
Love Letters,Kahlil Gibran/Suheil Bushrui/Salma H. Al-Kuzbari,3.68,1999
Kahlil Gibran: His Life and World,Jean Gibran/جبران خليل جبران/Kahlil Gibran,4.21,1998
The Beloved: Reflections on the Path of the Heart,Kahlil Gibran/John Walbridge/Robin Waterfield,4.19,1998
Jesus the Son of Man,Kahlil Gibran/جبران خليل جبران,3.98,1995
The Broken Wings,Kahlil Gibran/جبران خليل جبران/Anthony Rizcallah Ferris,3.92,2003
Sand and Foam,Kahlil Gibran/جبران خليل جبران,4.08,2011
Treasure Island,Robert Louis Stevenson,3.83,2001
Treasure Island,Robert Louis Stevenson/Scott McKowen,3.83,2004
Treasure Island,Robert Louis Stevenson,3.83,2005
Treasure Island,Robert Louis Stevenson/N.C. Wyeth/Timothy Meis,3.83,2003
Treasure Island,Robert Louis Stevenson/Milo Winter,3.83,2002
Treasure Island (Great Illustrated Classics),Deidre S. Laiken/A.J. McAllister/Robert Louis Stevenson,4.05,2006
100 Years of Lynchings,Ralph Ginzburg,4.61,1996
Cien años de soledad,Gabriel García Márquez,4.07,1990
On Beyond Zebra!,Dr. Seuss,4.04,1955
The Wedding Clause,Debbie Raleigh,3.6,2005
The Zebra Wall,Kevin Henkes,3.44,2005
El perfume: Historia de un asesino,Patrick Süskind,4.02,2002
The Door Into Summer,Robert A. Heinlein,4.01,1997
Stranger in a Strange Land,Robert A. Heinlein,3.92,1991
To Sail Beyond the Sunset,Robert A. Heinlein,3.87,1988
Job: A Comedy of Justice,Robert A. Heinlein,3.78,1985
Time for the Stars (Heinlein's Juveniles  #10),Robert A. Heinlein,3.97,2006
The Long Dark Tea-Time of the Soul (Dirk Gently  #2),Douglas Adams,4.06,1991
The Salmon of Doubt (Dirk Gently  #3),Douglas Adams,3.93,2005
Wish You Were Here: The Official Biography of Douglas Adams,Nick  Webb,4.14,2005
Douglas Adams's Starship Titanic,Terry Jones,3.6,1998
Salmon of Doubt: Hitchhiking the Galaxy One Last Time,Douglas Adams/Christopher Cerf,3.93,2003
The Phantom Tollbooth: A Children's Play in Two Acts,Susan Nanus/Norton Juster,4.13,2011
On Bullshit,Harry G. Frankfurt,3.57,2005
Another Bullshit Night in Suck City,Nick Flynn,3.78,2005
Lincoln at Gettysburg: The Words That Remade America,Garry Wills,4.14,1993
The Gettysburg Address,Abraham Lincoln/Michael McCurdy,4.53,1998
Underworld,Don DeLillo,3.92,1998
Libra,Don DeLillo,3.99,1991
Americana,Don DeLillo,3.43,1989
Running Dog,Don DeLillo,3.43,1989
Cosmopolis,Don DeLillo,3.22,2004
Great Jones Street,Don DeLillo,3.48,1994
The Names,Don DeLillo,3.64,1989
Against the Day,Thomas Pynchon,4.13,2006
V.,Thomas Pynchon,3.96,2005
The Crying of Lot 49,Thomas Pynchon,3.69,1999
Gravity's Rainbow,Thomas Pynchon,4.01,2000
Mason & Dixon,Thomas Pynchon/Christophe Claro/Brice Matthieussent,4.07,2004
Vineland,Thomas Pynchon,3.69,1997
Gravity's Rainbow,Thomas Pynchon,4.01,2006
Slow Learner: Early Stories,Thomas Pynchon,3.5,1985
Been Down So Long It Looks Like Up To Me,Richard Fariña/Thomas Pynchon,3.8,1996
The Year of Magical Thinking,Joan Didion,3.89,2005
The White Album,Joan Didion,4.17,1990
A Book of Common Prayer,Joan Didion,3.8,1995
Where I Was From,Joan Didion,3.86,2004
Slouching Towards Bethlehem,Joan Didion,4.21,1990
Democracy,Joan Didion,3.81,1995
We Tell Ourselves Stories in Order to Live: Collected Nonfiction,Joan Didion/John Leonard,4.5,2006
Play It As It Lays,Joan Didion/David Thomson,3.87,2005
The New York Trilogy,Paul Auster/Art Spiegelman/Luc Sante,3.89,2006
City of Glass (The New York Trilogy  #1),Paul Auster,3.79,1987
Ghosts (The New York Trilogy  #2),Paul Auster,3.64,1987
The Locked Room (The New York Trilogy  #3),Paul Auster,3.89,1986
Pyramids of Montauk: Explorations in Consciousness,Peter Moon/Preston B. Nichols/Nina Helms,3.89,1995
The Brooklyn Follies,Paul Auster,3.84,2006
Moon Palace,Paul Auster,3.94,1990
The Music of Chance,Paul Auster,3.9,1991
Travels in the Scriptorium,Paul Auster,3.23,2007
Leviathan,Paul Auster,3.96,1993
The Red Notebook: True Stories,Paul Auster,3.77,2002
Timbuktu / Leviathan / Moon Palace,Paul Auster,4.38,2002
Collapse: How Societies Choose to Fail or Succeed,Jared Diamond,3.93,2005
The Coming Economic Collapse: How You Can Thrive When Oil Costs $200 a Barrel,Stephen Leeb/Glen C. Strathy,3.4,2006
Collapse of Complex Societies,Joseph A. Tainter,4.15,1990
Bowling Alone: The Collapse and Revival of American Community,Robert D. Putnam,3.8,2001
The Collapse of the Common Good: How America's Lawsuit Culture Undermines Our Freedom,Philip K. Howard,3.91,2002
Reinventing the Enemy's Language: Contemporary Native Women's Writings of North America,Joy Harjo/Gloria Bird/Beth Cuthand/Valerie Martinez/Patricia Blanco,4.39,1998
My Inventions,Nikola Tesla,4.01,2006
Wizard: The Life and Times of Nikola Tesla: Biography of a Genius,Marc J.  Seifer/William H. Terbo,3.78,2001
Nikola Tesla: A Spark of Genius,Carol Dommermuth-Costa,3.93,1994
Tesla Papers,Nikola Tesla/David Hatcher Childress,4.13,2000
Boys of Summer,Julie Elizabeth Leto/Leslie Kelly/Kimberly Raye,3.77,2006
Programming Ruby: The Pragmatic Programmers' Guide,Dave Thomas/Chad Fowler/Andy Hunt,4.03,2004
Golding's Lord of the Flies (Cliffs Notes),Maureen Kelly/CliffsNotes/William Golding,3.95,2000
Lord of the Flies,William Golding,3.68,2005
A War Like No Other: How the Athenians & Spartans Fought the Peloponnesian War,Victor Davis Hanson,4.11,2006
We Were Not Like Other People,Ephraim Sevela/Antonina W. Bouis,4.14,1989
The Lovely Bones,Alice Sebold,3.81,2003
The Lovely Bones,Alice Sebold,3.81,2004
Lovely in Her Bones (Elizabeth MacPherson  #2),Sharyn McCrumb,3.8,1990
The Zen of CSS Design: Visual Enlightenment for the Web,Dave Shea/Molly E. Holzschlag,3.98,2005
HTML  XHTML  and CSS (Visual Quickstart Guide),Elizabeth Castro,3.8,2006
1000 Record Covers,Michael Ochs/Patrick Javault/Ulrike Wasel,3.85,2005
Killing Yourself to Live: 85% of a True Story,Chuck Klosterman,3.81,2006
Sex  Drugs  and Cocoa Puffs: A Low Culture Manifesto,Chuck Klosterman,3.73,2004
Vice (V  #8),Jane Feather,3.51,1996
Zen and the Art of Motorcycle Maintenance: An Inquiry Into Values (Phaedrus  #1),Robert M. Pirsig,3.77,2006
Once Upon a Cool Motorcycle Dude,Kevin O'Malley/Carol Heyer/Scott Goto,4.08,2005
Guidebook to Zen and the Art of Motorcycle Maintenance,Ronald L. DiSanto/Thomas J. Steele,3.72,1990
Motorcycle Basics Techbook,John Harold Haynes,3.85,2002
LOGO Lounge: 2 000 International Identities by Leading Designers,Catharine M. Fishel/Bill Gardner,3.93,2004
The Death of Ivan Ilych And Other Stories,Leo Tolstoy/Hugh McLean,4.11,2003
War and Peace,Leo Tolstoy/Henry Gifford/Aylmer Maude/Louise Maude,4.11,1998
The Kingdom of God Is Within You,Leo Tolstoy/Constance Garnett,4.13,2006
Atlas Shrugged,Ayn Rand/Leonard Peikoff,3.69,1999
For the New Intellectual: The Philosophy of Ayn Rand,Ayn Rand,3.68,1963
The Fountainhead,Ayn Rand,3.87,2005
The Virtue of Selfishness: A New Concept of Egoism,Ayn Rand/Nathaniel Branden,3.51,1964
Anthem,Ayn Rand,3.63,1999
We the Living,Ayn Rand/Leonard Peikoff,3.91,1996
Capitalism: The Unknown Ideal,Ayn Rand/Nathaniel Branden/Alan Greenspan/Robert Hessen,3.88,1986
Letters of Ayn Rand,Ayn Rand/Michael S. Berliner/Leonard Peikoff,3.96,1997
Sailing for Dummies,J.J. Isler/Peter Isler,3.95,2006
Sailing from Byzantium: How a Lost Empire Shaped the World,Colin  Wells,3.88,2006
Sailing Alone Around the Room: New and Selected Poems,Billy Collins,4.23,2002
The Greatest Sailing Stories Ever Told: Twenty-Seven Unforgettable Stories,Christopher Caswell,3.62,2004
"Natural Cures ""They"" Don't Want You to Know about",Kevin Trudeau,3.09,2004
The Natural,Bernard Malamud/Kevin Baker,3.63,2003
Digging to America,Anne Tyler,3.55,2006
Rereading America: Cultural Contexts for Critical Thinking and Writing,Gary Colombo/Bonnie Lisle,3.77,2004
Modern Latin America,Thomas E. Skidmore/Peter H. Smith,3.59,2004
The Plot Against America,Philip Roth,3.77,2005
Naked Pictures of Famous People,Jon   Stewart,3.59,1999
Collected Stories,Gabriel García Márquez/Gregory Rabassa/J.S. Bernstein,4.19,2008
Crónica de una muerte anunciada,Gabriel García Márquez,3.97,2003
Cien años de soledad,Gabriel García Márquez,4.07,2006
Del amor y otros demonios,Gabriel García Márquez,3.98,2006
Living to Tell the Tale,Gabriel García Márquez/Edith Grossman,3.99,2004
Memoria de mis putas tristes,Gabriel García Márquez,3.6,2004
The Elegant Universe: Superstrings  Hidden Dimensions  and the Quest for the Ultimate Theory,Brian Greene,4.07,2004
Pure and Simple: The Extraordinary Teachings of a Thai Buddhist Laywoman,Upasika Kee Nanayon/Thanissaro Bhikkhu,4.29,2005
The Mini Rough Guide to London,Rob Humphreys/Beth Chaplin/Rebecca Morrill,3.75,2006
Best of London (Lonely Planet Best Of),Lonely Planet/Sarah Johnstone/Steve Fallon,3.83,2004
Lonely Planet Londres,Lonely Planet/Sarah Johnstone/Tom Masters,4.03,2006
Out to Eat London 2002 (Lonely Planet Out to Eat),Lonely Planet/Mark Honan,0.0,2001
Three Nights in August: Strategy  Heartbreak  and Joy Inside the Mind of a Manager,H.G. Bissinger,3.88,2006
Cryptonomicon,Neal Stephenson,4.25,2002
Le Réseau Kinakuta (Cryptonomicon  #2),Neal Stephenson,4.1,2001
The Confusion (The Baroque Cycle  #2),Neal Stephenson,4.26,2005
Quicksilver (The Baroque Cycle  #1),Neal Stephenson,3.93,2004
The Cobweb,Neal Stephenson/J. Frederick George,3.61,2005
The Big U,Neal Stephenson,3.25,2001
The Diamond Age: Or  A Young Lady's Illustrated Primer,Neal Stephenson/Pedro Jorge Romero,4.19,2000
Interface,Neal Stephenson/George F. Jewsbury/Stephen  Bury,3.68,2005
Odalisque (The Baroque Cycle  Vol. 1  Book 3),Neal Stephenson,4.2,2006
Snow Crash,Neal Stephenson/Guy Abadia,4.03,2000
Harrington on Hold 'em: Expert Strategy for No-Limit Tournaments  Volume II: The Endgame,Dan Harrington/Bill Robertie,4.16,2005
Harrington on Hold 'em: Expert Strategy for No-Limit Tournaments  Volume I: Strategic Play,Dan Harrington/Bill Robertie,4.24,2004
The Design of Everyday Things,Donald A. Norman,4.17,2002
Emotional Design: Why We Love (or Hate) Everyday Things,Donald A. Norman,3.95,2005
The Psychology of Everyday Things,Donald A. Norman,4.17,1988
No Price Too High: A Pentecostal Preacher Becomes Catholic - The Inspirational Story of Alex Jones as Told to Diane Hanson,Alex C. Jones/Diane M. Hanson/Stephen K. Ray,4.27,2006
The Alchemist,Paulo Coelho/Alan R. Clarke/James Noel Smith,3.86,2006
The Alchemist,Paulo Coelho/Alan R. Clarke/Özdemir İnce,3.86,1993
Fullmetal Alchemist  Vol. 9 (Fullmetal Alchemist  #9),Hiromu Arakawa/Akira Watanabe,4.57,2006
Fullmetal Alchemist  Vol. 3 (Fullmetal Alchemist  #3),Hiromu Arakawa/Akira Watanabe,4.56,2005
Fullmetal Alchemist  Vol. 8 (Fullmetal Alchemist  #8),Hiromu Arakawa/Akira Watanabe,4.57,2006
Fullmetal Alchemist  Vol. 1 (Fullmetal Alchemist  #1),Hiromu Arakawa/Akira Watanabe,4.5,2005
Fullmetal Alchemist  Vol. 4 (Fullmetal Alchemist  #4),Hiromu Arakawa/Akira Watanabe,4.55,2005
The Illustrated Alchemist: A Fable about Following Your Dream,Paulo Coelho/Alan R. Clarke/Mœbius,3.86,1998
Fullmetal Alchemist  Vol. 2 (Fullmetal Alchemist  #2),Hiromu Arakawa/Akira Watanabe,4.52,2005
Pompeii,Robert   Harris,3.82,2005
The Last Days of Pompeii,Edward Bulwer-Lytton/John Gregory Betancourt,3.6,2002
Of Mice and Men,John Steinbeck,3.87,2002
The Game: Penetrating the Secret Society of Pickup Artists,Neil Strauss,3.74,2005
The Westing Game,Ellen Raskin,4.02,2004
The Egypt Game,Zilpha Keatley Snyder,3.83,2009
Memoirs of a Geisha,Arthur Golden,4.11,2005
Memoirs of a Geisha,Arthur Golden,4.11,2005
Memoirs of a Geisha,Arthur Golden,4.11,2005
Memoirs of a Geisha: A Portrait of the Film,David        James/Peggy Mulloy/Rob Marshall/Arthur Golden,4.08,2005
Memoirs of a Geisha,Arthur Golden,4.11,1998
Geisha of Gion,Mineko Iwasaki/Rande Brown,3.93,2003
Love As A Foreign Language #5,J. Torres/Eric  Kim,3.44,2006
Jungle Love,Margaret Johnson/Philip Prowse,3.41,2002
The 5 Love Languages / The 5 Love Languages Journal,Gary Chapman,4.7,2005
Angels & Demons (Robert Langdon  #1),Dan Brown,3.89,2006
Ángeles y demonios (Robert Langdon  #1),Dan Brown,3.89,2005
Angeles & Demonios,Dan Brown/Raúl Amundaray,3.89,2005
The Da Vinci Code (Robert Langdon  #2),Dan Brown,3.84,2006
The Da Vinci Code,Dan Brown,3.84,2006
Da Vinci Code (Robert Langdon  #2),Dan Brown/Daniel Roche,3.84,2005
Deception Point,Dan Brown,3.71,2006
Deception Point,Dan Brown,3.71,2004
Deception Point,Dan Brown,3.71,2005
A Killing Rain (Louis Kincaid  #6),P.J. Parrish,4.04,2005
The Millionaire Next Door: The Surprising Secrets of America's Wealthy,Thomas J. Stanley/William D. Danko,4.03,1998
Think and Grow Rich: The Landmark Bestseller Now Revised and Updated for the 21st Century,Napoleon Hill,4.18,2005
Think and Grow Rich,Napoleon Hill,4.18,2004
Pragmatic Version Control: Using Subversion (The Pragmatic Starter Kit Series),Mike   Mason,3.58,2006
Read My Lips: Sexual Subversion and the End of Gender,Riki Anne Wilchins,3.95,2005
Trump: The Art of the Deal,Donald J. Trump/Tony Schwartz,3.66,2004
The Richest Man in Babylon,George S. Clason,4.26,2008
The Richest Man in Babylon,George S. Clason,4.26,2005
Shibumi,Trevanian/Gisela Stege,4.21,2005
1776,David McCullough,4.07,2006
1776,Peter  Stone/Sherman Edwards,4.22,1976
The Crescent Obscured: The United States and the Muslim World  1776-1815,Robert J. Allison,3.62,2000
The Good Earth (House of Earth  #1),Pearl S. Buck,3.98,2009
Purpose Driven Life - For Commuters: What on Earth Am I Here For?,Rick Warren,3.93,2005
Fast Food Nation: The Dark Side of the All-American Meal,Eric Schlosser,3.74,2005
Fast Food Nation: What The All-American Meal is Doing to the World,Eric Schlosser,3.74,2002
Snow Flower and the Secret Fan,Lisa See,4.07,2006
The Broker,John Grisham,3.78,2006
The Power Broker: Robert Moses and the Fall of New York,Robert A. Caro,4.51,1975
The Power Broker: A Novel (Christian Gillette  #3),Stephen W. Frey,3.75,2006
Body For Life: 12 Weeks to Mental and Physical Strength,Bill Phillips/Michael D'Orso,3.74,1999
Body for Life for Women: A Woman's Plan for Physical and Mental Transformation,Pamela Peeke/Cindy Crawford,3.65,2005
Eating for Life: Your Guide to Great Health  Fat Loss and Increased Energy!,Bill Phillips,3.95,2003
The Warren Buffett Way,Robert G. Hagstrom/Bill Miller/Kenneth L. Fisher,4.13,2005
The Warren Buffett CEO: Secrets from the Berkshire Hathaway Managers,Robert P. Miles/Tom Osborne,4.07,2003
Monkey Business: True Story of the Scopes Trial,Marvin N. Olasky/John R. Perry,3.15,2005
Junie B. Jones and a Little Monkey Business (Junie B. Jones  #2),Barbara Park/Denise Brunkus,3.99,1993
Monkey Business,Sarah Mlynowski,3.67,2004
Liar's Poker,Michael   Lewis,4.15,1990
Liar's Poker: A Harry Garnish Mystery,Frank McConnell,3.31,1993
Risotto: 30 Simply Delicious Vegetarian Recipes from an Italian Kitchen,Ursula Ferrigno/Jason Lowe/Maxine  Clark,4.08,2001
Giada's Family Dinners,Giada De Laurentiis/Victoria Pearson,3.96,2006
Everyday Italian: 125 Simple and Delicious Recipes,Giada De Laurentiis,3.95,2005
Everyday Pasta,Giada De Laurentiis/Victoria Pearson,4.09,2007
Tyler's Ultimate: Brilliant Simple Food to Make Any Time,Tyler Florence/Petrina Tinslay,4.09,2006
Tyler Florence's Real Kitchen: An Indespensible Guide for Anybody Who Likes to Cook,Tyler Florence/JoAnn Cianciulli/Bill Bettencourt/Bobby Flay,4.06,2003
Eat This Book: Cooking with Global Fresh Flavors,Tyler Florence/Petrina Tinslay,3.92,2004
Freakonomics: A Rogue Economist Explores the Hidden Side of Everything,Steven D. Levitt/Stephen J. Dubner,3.97,2006
Freakonomics: Un economista políticamente incorrecto explora el lado oculto de lo que nos afecta,Steven D. Levitt/Stephen J. Dubner,3.97,2006
